url_from,url_to,nofollow,link_type,links_ext,link_text,first_seen,last_visited,domain_rank
http://aiche01.com/mental-well-being.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,30,Substance Abuse & Mental Health Services Administration (SAMSHA),2022-06-12,2022-10-12 15:45:35,0
http://adjkjc.github.io/www.nimh.nih.gov/health/topics/schizophrenia/index.shtml.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,21,support groups,2022-01-27,2022-10-31 11:25:29,11
http://adhoc-for-hair.com/sober-living/ecosoberhouse-offer-usa-boston/,https://www.samhsa.gov/find-help/national-helpline,follow,href,9,sober house,2021-04-06,2022-09-29 10:31:06,21
http://addictionstats.org/services/pre-construction,https://www.samhsa.gov/find-help/national-helpline,follow,href,2,Finding Help,2021-07-06,2022-09-26 22:15:27,0
http://addictionspedia.com/resource/organizations/,https://www.samhsa.gov/find-help/national-helpline,nofollow,href,9,View Organization,2021-07-05,2022-05-27 02:23:45,0
http://addictionexperts.com/resources/how-long-does-rehab-take/,https://www.samhsa.gov/find-help/national-helpline,follow,href,6,SAMHSA,2022-09-27,2022-09-27 16:34:49,21
http://acoem.org/COVID-19-Resource-Center/Mental-Health-Resources,https://www.samhsa.gov/find-help/national-helpline,follow,href,27,Substance Abuse and Mental Health Services Administration,2022-08-27,2022-08-27 09:26:28,36
http://aclaparks.org/index-427.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,20,Visit Website,2022-08-02,2022-11-03 23:54:12,11
http://acessally.com/2018/12/20/ny-times-article-heroin-addiction-explained-how-opioids-hijack-the-brain/,https://www.samhsa.gov/find-help/national-helpline,follow,href,13,1-800-662-HELP,2019-01-17,2022-07-02 15:24:14,0
http://academynewton.com/resources/index.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,67,https://www.samhsa.gov/find-help/national-helpline,2019-02-22,2022-09-27 02:31:18,8
http://8255266.com/are-you-feeling-suicidal.html,http://www.samhsa.gov/find-help/national-helpline,follow,href,27,SAMHSA’s National Helpline,2022-05-27,2022-05-27 02:11:39,0
http://72hourhold.com/2019/06/07/4-dinner-at-hugos/,https://www.samhsa.gov/find-help/national-helpline,follow,href,35,alcoholism,2021-07-06,2022-09-27 14:17:55,8
http://4xufe2.com/index-3401.html,http://www.samhsa.gov/find-help/national-helpline,follow,href,17,here,2022-05-27,2022-05-27 21:58:17,0
http://3xianqiu6.com/overcoming-drug-addiction.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,24,SAMHSA helpline,2021-09-18,2022-05-26 05:43:00,15
http://3qagv.029df.com/life/student-services/health-center/emergencies,http://www.samhsa.gov/find-help/national-helpline,follow,href,25,SAMHSA热线,2022-09-25,2022-09-25 16:52:42,0
http://24hrsdoctors.com/anxiety-artificial-intelligence-5212637.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,20,Substance Abuse and Mental Health Services Administration's (SAMHSA) National Helpline,2022-05-27,2022-05-27 08:04:20,0
http://204.77.45.3/StudentServices/Services/Student-Basic-Needs-Resources,https://www.samhsa.gov/find-help/national-helpline,follow,href,117,Learn more online,2022-09-16,2022-09-16 18:34:25,5
http://15953k.com/index-283.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,27,SAMHSA’s National Helpline,2022-05-25,2022-05-25 20:43:27,0
http://12daysof-christmasgifts.com/index-1406.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,24,Substance Abuse and Mental Health Services Administration,2022-09-26,2022-09-26 07:52:41,0
http://0768hld.com/crying-on-social-media-5190616.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,12,here,2022-10-23,2022-10-23 01:30:47,0
http://000ip39.wcomhost.com/wordpress1/resources/,https://www.samhsa.gov/find-help/national-helpline,follow,href,152,National Institute for Drug Abuse,2019-03-21,2022-07-09 10:56:45,0
